institution_id,total_students,ug_students,pg_students,total_faculty,required_faculty,faculty_phd_count,total_labs,total_classrooms,computer_count,library_books,total_area_sqft,hostel_capacity,annual_budget,naac_grade,iso_certified,nba_programs,faculty_ratio,phd_percentage,area_per_student,computer_student_ratio,faculty_shortage_amt,risk_score,risk_level,approved,approval_probability
0,2247,1901,346,144,150,56,7,50,411,27633,27728,449,9.230868427,B+,0,0,15.60416667,0.388888889,12.3400089,5.467153285,6,60,High,0,40.11110913
1,1414,1102,312,88,95,34,21,20,259,13689,22252,565,17.78930928,A++,0,3,16.06818182,0.386363636,15.73691655,5.459459459,7,36,Medium,1,73.26139092
2,1787,1263,524,87,120,44,15,29,437,4374,24806,714,68.17135809,B++,1,3,20.54022989,0.505747126,13.88136542,4.089244851,33,63,High,0,39.82232119
3,1822,1583,239,129,122,49,14,31,572,28134,44600,0,10.59129828,,0,1,14.12403101,0.379844961,24.47859495,3.185314685,0,24,Low,1,80.4387423
4,2604,1861,743,206,174,60,26,39,783,13578,30565,1562,54.94417675,B++,1,4,12.6407767,0.291262136,11.73771121,3.325670498,0,38,Medium,1,58.1014906
5,1040,736,304,58,70,18,21,15,244,17663,13546,624,73.06748554,A,1,2,17.93103448,0.310344828,13.025,4.262295082,12,52,Medium,0,45.49121478
6,2623,2257,366,189,175,42,33,46,469,9383,61347,0,53.57675904,A++,1,1,13.87830688,0.222222222,23.38810522,5.592750533,0,27,Low,1,66.45024656
7,4449,3730,719,229,297,49,19,78,1968,8461,59089,889,77.18354712,A,1,1,19.4279476,0.213973799,13.28141155,2.260670732,68,63,High,0,34.8369536
8,1206,911,295,80,81,41,22,27,202,21138,16393,482,32.7240842,A,0,4,15.075,0.5125,13.59286899,5.97029703,1,54,Medium,0,46.14049732
9,722,605,117,43,49,10,17,11,302,21860,14921,0,56.82033036,A,0,1,16.79069767,0.23255814,20.66620499,2.390728477,6,36,Medium,1,66.78060899
10,2739,2221,518,206,183,74,36,64,488,3479,37326,1095,57.52683725,B,0,6,13.2961165,0.359223301,13.62760131,5.612704918,0,44,Medium,1,58.83447035
11,1651,1477,174,82,111,28,11,23,796,6248,27615,330,29.40497736,B+,1,3,20.13414634,0.341463415,16.72622653,2.074120603,29,28,Low,1,68.14109625
12,2590,2139,451,162,173,75,22,45,931,7295,45427,1036,62.64155107,A++,0,1,15.98765432,0.462962963,17.53938224,2.781954887,11,38,Medium,1,63.63611693
13,2255,2008,247,173,151,65,15,53,815,2000,55709,0,28.76915039,A+,1,3,13.03468208,0.375722543,24.70465632,2.766871166,0,8,Low,1,86.28514851
14,2122,1781,341,161,142,69,33,43,404,19120,32662,0,19.57054651,A++,1,0,13.18012422,0.428571429,15.39208294,5.252475248,0,21,Low,1,71.19721464
15,3600,3003,597,185,240,100,13,54,1670,11359,81302,1440,32.01429811,A+,1,2,19.45945946,0.540540541,22.58388889,2.155688623,55,32,Medium,1,77.21706879
16,3027,2709,318,243,202,86,14,47,805,8825,44933,605,73.64102957,B++,1,0,12.45679012,0.353909465,14.84407004,3.760248447,0,42,Medium,1,59.35530874
17,3820,3176,644,360,255,60,9,85,1134,11296,70633,2292,8.450198152,A++,0,2,10.61111111,0.166666667,18.49031414,3.368606702,0,13,Low,1,81.87806179
18,1572,1225,347,72,105,28,18,38,349,24305,30695,0,56.2972827,B+,0,6,21.83333333,0.388888889,19.52608142,4.504297994,33,38,Medium,1,64.40608864
19,2220,1831,389,166,148,38,18,47,1029,23485,31322,444,56.22550801,A++,1,1,13.37349398,0.228915663,14.10900901,2.157434402,0,28,Low,1,76.24801049
20,2121,1751,370,116,142,58,14,33,782,20978,44596,0,59.87358165,A+,1,3,18.28448276,0.5,21.02593116,2.712276215,26,26,Low,1,79.72185768
21,2572,1922,650,198,172,69,8,52,1161,2000,40751,0,72.90364823,A+,1,5,12.98989899,0.348484848,15.8440902,2.215331611,0,11,Low,1,83.01669765
22,2493,2138,355,193,167,35,24,59,661,12527,43418,498,77.6488958,B+,0,3,12.91709845,0.18134715,17.4159647,3.771558245,0,25,Low,1,79.43100983
23,1589,1158,431,64,106,24,13,23,282,15632,36462,0,61.50336389,A,1,4,24.828125,0.375,22.94650724,5.634751773,42,34,Medium,1,65.97718586
24,1185,857,328,78,79,15,25,18,202,3435,23389,711,44.6277591,B++,0,3,15.19230769,0.192307692,19.73755274,5.866336634,1,53,Medium,1,51.21787011
25,840,600,240,49,56,13,18,13,169,10550,20947,336,26.07223922,,0,2,17.14285714,0.265306122,24.93690476,4.970414201,7,57,Medium,0,36.22471022
26,2729,1952,777,99,182,53,23,44,842,19570,67660,0,14.98888439,A++,0,3,27.56565657,0.535353535,24.79296446,3.241092637,83,40,Medium,1,60.71025046
27,2733,2003,730,245,183,83,31,53,765,11420,67721,1093,68.15891924,B,1,1,11.15510204,0.33877551,24.77899744,3.57254902,0,10,Low,1,90.23490297
28,1394,1101,293,107,93,21,13,23,297,2727,33889,836,6.663855652,B++,1,4,13.02803738,0.196261682,24.31061693,4.693602694,0,31,Medium,1,71.068564
29,3007,2393,614,270,201,109,26,44,507,11880,66381,601,49.24382651,A,1,3,11.13703704,0.403703704,22.07549052,5.930966469,0,14,Low,1,79.09949271
30,300,237,63,19,20,10,27,6,101,17932,5216,180,57.23760997,B++,0,3,15.78947368,0.526315789,17.38666667,2.97029703,1,25,Low,1,72.48381257
31,2740,2108,632,184,183,66,9,41,825,11090,42031,1096,7.948410488,B,1,0,14.89130435,0.358695652,15.33978102,3.321212121,0,9,Low,1,89.895152
32,2352,1733,619,186,157,43,26,43,676,28159,36590,470,16.08043189,A+,1,2,12.64516129,0.231182796,15.55697279,3.479289941,0,19,Low,1,79.208954
